id,female,city,age,logins,mandalorian,unsubscribe
770,no,yes,42,3,yes,stay
771,no,yes,48,4,yes,unsubscribe
772,yes,yes,51,0,yes,stay
773,yes,yes,45,10,no,stay
774,no,no,34,0,yes,unsubscribe
775,yes,yes,32,4,yes,unsubscribe
776,no,yes,60,2,yes,stay
777,no,yes,61,0,yes,unsubscribe
778,yes,yes,46,4,yes,stay
779,yes,yes,40,10,no,stay
780,yes,yes,52,9,no,stay
781,yes,yes,48,5,yes,stay
782,yes,yes,43,8,no,stay
783,no,yes,43,3,yes,stay
784,yes,yes,49,8,no,stay
785,no,yes,44,7,yes,unsubscribe
786,no,yes,39,0,yes,stay
787,yes,yes,52,0,yes,unsubscribe
788,yes,yes,41,8,yes,stay
789,yes,yes,52,0,yes,unsubscribe
790,no,yes,51,7,yes,stay
791,no,yes,43,7,yes,stay
792,yes,yes,43,0,yes,unsubscribe
793,yes,yes,38,10,no,unsubscribe
794,yes,yes,47,10,no,stay
795,yes,yes,42,0,yes,unsubscribe
796,yes,yes,60,8,no,stay
797,yes,yes,47,4,yes,stay
798,no,yes,48,10,no,stay
799,yes,yes,52,9,no,stay
800,no,no,39,0,yes,stay
801,yes,yes,39,2,yes,stay
802,yes,yes,38,3,yes,stay
803,yes,yes,44,3,yes,stay
804,no,yes,47,3,yes,stay
805,no,yes,47,0,yes,stay
806,yes,yes,47,10,no,stay
807,yes,yes,43,0,yes,unsubscribe
808,no,yes,60,0,yes,unsubscribe
809,yes,no,48,8,no,stay
810,no,yes,57,0,yes,unsubscribe
811,no,yes,42,3,yes,stay
812,no,yes,42,8,no,unsubscribe
813,yes,yes,40,9,no,stay
814,no,yes,61,10,no,stay
815,yes,yes,49,5,yes,unsubscribe
816,yes,yes,39,5,yes,stay
817,no,yes,52,0,yes,stay
818,yes,no,58,5,yes,stay
819,no,yes,49,0,yes,stay
820,yes,yes,43,0,yes,stay
821,no,no,38,0,yes,unsubscribe
822,yes,yes,46,2,yes,unsubscribe
823,no,yes,35,0,yes,unsubscribe
824,no,yes,41,0,yes,stay
825,no,no,41,8,no,stay
826,no,yes,51,0,yes,unsubscribe
827,yes,yes,58,0,yes,unsubscribe
828,yes,yes,45,3,yes,stay
829,yes,yes,63,10,no,stay
830,no,yes,44,3,yes,unsubscribe
831,yes,yes,36,0,yes,stay
832,no,no,43,0,yes,stay
833,no,yes,50,3,yes,unsubscribe
834,no,yes,44,0,yes,unsubscribe
835,yes,yes,46,2,yes,stay
836,yes,yes,44,7,yes,stay
837,yes,yes,48,10,no,stay
838,no,yes,52,7,yes,unsubscribe
839,yes,yes,40,7,yes,stay
840,no,no,51,0,yes,stay
841,no,yes,47,10,no,stay
842,no,yes,47,5,yes,stay
843,no,yes,34,4,yes,stay
844,yes,yes,40,9,no,stay
845,yes,yes,51,7,yes,stay
846,no,yes,33,2,yes,unsubscribe
847,no,yes,55,10,no,stay
848,yes,yes,57,2,yes,stay
849,no,yes,49,0,yes,unsubscribe
850,yes,yes,54,7,yes,stay
851,no,yes,50,3,yes,stay
852,yes,yes,37,10,no,stay
853,yes,yes,45,0,yes,stay
854,yes,yes,42,7,yes,stay
855,yes,yes,34,0,yes,stay
856,no,yes,39,0,yes,stay
857,no,yes,42,9,no,unsubscribe
858,yes,yes,37,10,no,stay
859,yes,yes,49,2,yes,stay
860,no,yes,45,5,yes,unsubscribe
861,no,yes,47,10,no,stay
862,yes,yes,63,4,yes,stay
863,yes,yes,45,0,yes,unsubscribe
864,no,yes,42,10,no,stay
865,no,yes,42,8,no,stay
866,yes,yes,37,0,yes,stay
867,yes,yes,42,7,yes,stay
868,no,yes,51,9,no,stay
869,no,yes,43,5,yes,stay
870,yes,yes,39,10,no,unsubscribe
871,no,yes,53,10,no,stay
872,no,yes,38,0,yes,stay
873,yes,yes,51,8,no,stay
874,no,yes,42,2,yes,stay
875,no,yes,53,7,yes,unsubscribe
876,no,yes,36,0,yes,unsubscribe
877,no,no,40,8,no,stay
878,yes,yes,58,0,yes,stay
879,yes,yes,44,10,no,stay
880,no,yes,49,7,yes,stay
881,yes,yes,38,5,yes,stay
882,no,yes,37,10,no,stay
883,no,yes,45,3,yes,stay
884,no,yes,40,4,yes,stay
885,no,no,47,0,yes,unsubscribe
886,yes,yes,43,0,yes,stay
887,yes,yes,55,5,yes,stay
888,no,yes,44,9,no,unsubscribe
889,no,yes,51,5,yes,unsubscribe
890,no,yes,54,10,no,stay
891,no,yes,52,7,yes,stay
892,no,yes,46,0,yes,stay
893,yes,yes,37,7,yes,stay
894,yes,yes,49,9,no,stay
895,yes,yes,47,5,yes,stay
896,yes,yes,50,0,yes,stay
897,yes,no,40,0,yes,stay
898,yes,yes,52,8,no,stay
899,no,no,45,8,no,stay
900,yes,yes,48,9,no,stay
901,yes,yes,37,0,yes,stay
902,yes,yes,47,10,no,stay
903,yes,yes,54,10,no,stay
904,no,yes,47,3,yes,stay
905,no,yes,45,0,yes,unsubscribe
906,no,yes,59,5,yes,stay
907,no,yes,50,0,yes,stay
908,no,yes,51,10,no,stay
909,yes,no,36,0,yes,stay
910,yes,yes,59,5,yes,stay
911,no,yes,43,9,no,stay
912,yes,yes,40,2,yes,stay
913,no,yes,43,10,no,unsubscribe
914,no,no,35,0,yes,stay
915,no,yes,45,9,no,stay
916,no,yes,42,0,yes,stay
917,yes,yes,49,5,yes,stay
918,yes,yes,49,3,yes,unsubscribe
919,yes,yes,44,5,yes,unsubscribe
920,yes,yes,48,7,yes,stay
921,no,yes,42,4,yes,stay
922,yes,yes,44,8,yes,stay
923,yes,yes,47,5,yes,unsubscribe
924,no,yes,58,5,yes,stay
925,yes,yes,41,0,yes,stay
926,no,yes,55,9,no,stay
927,yes,no,34,8,no,stay
928,no,yes,56,10,no,stay
929,no,yes,50,0,yes,stay
930,no,yes,42,10,no,stay
931,yes,yes,42,7,yes,stay
932,no,no,37,8,no,stay
933,yes,yes,28,5,yes,stay
934,no,yes,45,3,yes,stay
935,no,yes,43,8,yes,stay
936,no,yes,50,4,yes,unsubscribe
937,yes,yes,40,0,yes,stay
938,no,yes,58,4,yes,stay
939,yes,no,54,0,yes,stay
940,no,yes,52,4,yes,stay
941,no,yes,52,10,no,stay
942,no,yes,53,0,yes,stay
943,yes,yes,57,9,no,stay
944,yes,yes,49,10,no,stay
945,no,yes,48,10,no,stay
946,no,yes,48,7,yes,stay
947,yes,yes,30,9,no,stay
948,no,yes,47,7,yes,unsubscribe
949,yes,yes,46,9,no,stay
950,yes,no,41,0,yes,unsubscribe
951,no,yes,40,4,yes,stay
952,no,yes,53,5,yes,unsubscribe
953,no,yes,54,5,yes,stay
954,no,yes,37,5,yes,unsubscribe
955,no,yes,50,7,yes,unsubscribe
956,no,yes,39,10,no,stay
957,no,yes,51,9,no,stay
958,yes,yes,50,7,yes,stay
959,yes,yes,39,9,no,stay
960,no,yes,43,7,yes,stay
961,no,yes,50,5,yes,unsubscribe
962,yes,yes,44,5,yes,stay
963,no,yes,66,7,yes,stay
964,no,yes,46,5,yes,stay
965,no,yes,53,10,no,stay
966,no,yes,42,9,no,stay
967,yes,no,38,0,yes,stay
968,no,yes,42,3,yes,stay
969,yes,yes,56,0,yes,stay
970,no,yes,41,4,yes,unsubscribe
971,no,yes,45,2,yes,unsubscribe
972,yes,no,46,8,no,stay
973,yes,yes,48,3,yes,unsubscribe
974,no,yes,41,3,yes,stay
975,yes,yes,57,10,no,stay
976,no,yes,36,9,no,stay
977,no,yes,38,5,yes,stay
978,no,no,54,0,yes,unsubscribe
979,yes,yes,41,0,yes,unsubscribe
980,no,yes,50,0,yes,unsubscribe
981,no,yes,47,0,yes,stay
982,no,yes,37,0,yes,stay
983,yes,yes,52,10,no,unsubscribe
984,yes,yes,47,0,yes,stay
985,no,yes,47,0,yes,stay
986,no,yes,51,10,no,stay
987,yes,yes,44,3,yes,unsubscribe
988,no,yes,42,10,no,stay
989,yes,yes,46,5,yes,stay
990,no,no,52,0,yes,unsubscribe
991,yes,yes,51,7,yes,stay
992,yes,yes,40,2,yes,stay
993,no,yes,49,3,yes,stay
994,no,yes,53,0,yes,unsubscribe
995,yes,no,47,0,yes,stay
996,no,no,43,8,no,stay
997,yes,yes,36,0,yes,unsubscribe
998,yes,yes,47,3,yes,unsubscribe
999,yes,yes,43,3,yes,stay
1000,no,yes,30,8,no,stay
1001,yes,yes,57,2,yes,stay
1002,yes,yes,53,5,yes,stay
1003,no,no,45,0,yes,stay
1004,no,yes,45,9,no,stay
1005,yes,yes,48,5,yes,stay
1006,yes,no,49,8,no,stay
1007,yes,yes,46,7,yes,unsubscribe
1008,yes,yes,62,5,yes,stay
1009,no,yes,51,5,yes,unsubscribe
1010,no,no,35,0,yes,stay
1011,yes,yes,43,7,yes,stay
1012,yes,yes,41,10,no,stay
1013,no,yes,47,0,yes,stay
1014,yes,no,36,0,yes,stay
1015,no,no,46,8,no,stay
1016,yes,yes,46,0,yes,unsubscribe
1017,yes,yes,43,5,yes,unsubscribe
1018,yes,yes,41,3,yes,unsubscribe
1019,no,yes,45,3,yes,stay
1020,no,no,38,7,no,unsubscribe
1021,yes,yes,58,10,no,stay
1022,no,no,45,2,yes,stay
1023,no,yes,34,0,yes,stay
1024,yes,yes,60,5,yes,unsubscribe
1025,no,yes,42,7,yes,unsubscribe
1026,yes,yes,54,10,no,unsubscribe
1027,yes,yes,34,7,yes,stay
1028,yes,yes,51,0,yes,stay
1029,no,yes,43,5,yes,unsubscribe
1030,no,yes,45,4,yes,stay
1031,no,yes,46,5,yes,stay
1032,no,yes,52,2,yes,stay
1033,yes,yes,42,10,no,stay
1034,no,yes,42,3,yes,unsubscribe
1035,yes,no,44,0,yes,stay
1036,yes,yes,38,10,no,stay
1037,yes,yes,43,9,no,unsubscribe
1038,no,yes,45,10,no,stay
1039,no,yes,44,5,yes,stay
1040,yes,yes,50,4,yes,stay
1041,no,yes,48,7,yes,stay
1042,no,yes,52,5,yes,unsubscribe
1043,no,yes,55,3,yes,unsubscribe
1044,no,yes,49,10,no,unsubscribe
1045,yes,yes,28,10,no,stay
1046,no,yes,51,10,no,unsubscribe
1047,no,yes,42,0,yes,stay
1048,no,yes,43,9,no,stay
1049,no,yes,48,8,yes,stay
1050,yes,yes,48,2,yes,stay
1051,yes,no,52,8,no,stay
1052,yes,yes,47,8,no,stay
1053,no,yes,40,4,yes,unsubscribe
1054,no,no,58,0,yes,stay
1055,no,yes,46,10,no,stay
1056,yes,yes,47,4,yes,stay
1057,yes,yes,43,5,yes,unsubscribe
1058,yes,yes,42,10,no,stay
1059,no,yes,47,3,yes,unsubscribe
1060,no,yes,39,0,yes,unsubscribe
1061,no,yes,52,5,yes,stay
1062,no,yes,50,7,yes,stay
1063,no,no,36,8,no,stay
1064,no,yes,48,4,yes,stay
1065,yes,yes,61,8,no,stay
1066,no,yes,45,10,no,stay
1067,yes,no,59,0,yes,unsubscribe
1068,no,yes,47,9,no,stay
1069,no,yes,54,2,yes,stay
1070,yes,yes,48,5,yes,stay
1071,yes,yes,52,0,yes,stay
1072,yes,no,40,3,yes,stay
1073,no,yes,40,0,yes,unsubscribe
1074,yes,yes,61,0,yes,unsubscribe
1075,yes,yes,48,10,no,unsubscribe
1076,no,yes,39,4,yes,stay
1077,no,yes,36,8,no,stay
1078,yes,no,53,0,yes,stay
1079,no,yes,45,0,yes,stay
1080,yes,no,43,3,yes,unsubscribe
1081,no,yes,55,0,yes,stay
1082,no,yes,41,0,yes,stay
1083,yes,no,45,0,yes,unsubscribe
1084,yes,yes,52,4,yes,stay
1085,no,yes,47,0,yes,stay
1086,yes,no,45,8,no,stay
1087,no,yes,45,0,yes,unsubscribe
1088,no,yes,53,2,yes,stay
1089,no,yes,43,8,yes,stay
1090,yes,yes,47,10,no,unsubscribe
1091,no,yes,44,7,yes,stay
1092,no,yes,49,8,yes,unsubscribe
1093,no,yes,40,0,yes,unsubscribe
1094,yes,yes,31,9,no,unsubscribe
1095,yes,yes,45,10,no,stay
1096,no,yes,58,0,yes,stay
1097,no,yes,42,7,yes,stay
1098,yes,yes,40,10,no,stay
1099,yes,yes,54,0,yes,unsubscribe
1100,no,yes,45,10,no,stay
1101,yes,yes,46,10,no,stay
1102,no,yes,34,8,no,stay
1103,no,yes,35,7,yes,unsubscribe
1104,no,yes,36,3,yes,unsubscribe
1105,no,yes,34,9,no,stay
1106,yes,yes,45,0,yes,stay
1107,yes,no,32,0,yes,unsubscribe
1108,no,yes,41,0,yes,stay
1109,no,yes,48,0,yes,stay
1110,yes,yes,66,0,yes,stay
1111,yes,no,24,8,no,stay
1112,yes,yes,47,4,yes,unsubscribe
1113,yes,yes,43,0,yes,unsubscribe
1114,no,yes,43,10,no,stay
1115,no,no,47,0,yes,unsubscribe
1116,no,yes,50,10,no,stay
1117,no,yes,55,9,no,stay
1118,no,yes,48,0,yes,stay
1119,no,yes,51,4,yes,unsubscribe
1120,yes,yes,44,4,yes,stay
1121,no,yes,30,10,no,stay
1122,no,yes,37,8,no,stay
1123,no,yes,49,3,yes,unsubscribe
1124,yes,yes,27,3,yes,stay
1125,yes,yes,51,2,yes,stay
1126,no,yes,51,0,yes,stay
1127,yes,yes,42,2,yes,unsubscribe
1128,yes,yes,30,4,yes,stay
1129,no,yes,43,7,yes,stay
1130,no,yes,51,2,yes,stay
1131,yes,yes,53,0,yes,stay
1132,yes,yes,48,3,yes,unsubscribe
1133,yes,yes,43,0,yes,stay
1134,no,yes,59,10,no,stay
1135,yes,yes,34,5,yes,unsubscribe
1136,no,yes,60,3,yes,stay
1137,no,yes,36,0,yes,stay
1138,no,yes,38,7,yes,unsubscribe
1139,no,yes,43,0,yes,unsubscribe
1140,yes,yes,41,10,no,stay
1141,yes,yes,38,0,yes,stay
1142,yes,yes,59,5,yes,stay
1143,yes,yes,50,5,yes,stay
1144,no,no,36,0,yes,stay
1145,no,yes,54,10,no,stay
1146,yes,yes,44,0,yes,stay
1147,yes,yes,49,7,yes,stay
1148,yes,no,45,9,no,stay
1149,yes,yes,39,9,no,stay
1150,yes,yes,39,5,yes,unsubscribe
1151,no,yes,47,7,yes,unsubscribe
1152,yes,yes,40,5,yes,stay
1153,no,yes,32,8,no,stay
1154,yes,yes,47,0,yes,stay
1155,no,no,38,7,no,stay
1156,no,no,45,0,yes,unsubscribe
1157,no,yes,38,4,yes,stay
1158,no,no,51,0,yes,stay
1159,no,yes,47,7,yes,stay
1160,no,yes,53,0,yes,unsubscribe
1161,no,yes,38,9,no,stay
1162,yes,yes,47,2,yes,stay
1163,yes,yes,45,8,no,stay
1164,yes,yes,49,10,no,stay
1165,yes,no,46,0,yes,unsubscribe
1166,yes,yes,42,5,yes,stay
1167,no,yes,42,0,yes,unsubscribe
1168,no,yes,54,5,yes,stay
1169,yes,no,47,3,yes,stay
1170,yes,yes,47,0,yes,stay
1171,no,yes,32,0,yes,unsubscribe
1172,no,yes,32,2,yes,stay
1173,yes,yes,53,0,yes,stay
1174,yes,yes,49,10,no,stay
1175,no,yes,45,5,yes,unsubscribe
1176,no,yes,37,7,yes,unsubscribe
1177,no,yes,55,7,yes,stay
1178,no,yes,40,10,no,stay
1179,no,yes,45,10,no,stay
1180,yes,no,39,0,yes,unsubscribe
1181,yes,yes,47,0,yes,stay
1182,yes,no,48,8,no,stay
1183,yes,yes,43,2,yes,stay
1184,yes,yes,42,5,yes,stay
1185,no,yes,47,0,yes,stay
1186,yes,yes,52,10,no,stay
1187,yes,yes,51,4,yes,stay
1188,yes,no,39,0,yes,stay
1189,no,yes,47,0,yes,stay
1190,yes,yes,46,0,yes,unsubscribe
1191,yes,yes,45,0,yes,unsubscribe
1192,yes,yes,53,5,yes,stay
1193,yes,yes,37,9,no,stay
1194,no,yes,51,7,yes,unsubscribe
1195,yes,yes,55,5,yes,stay
1196,yes,yes,49,5,yes,stay
1197,yes,yes,48,3,yes,stay
1198,yes,no,40,9,no,stay
1199,no,yes,51,8,no,stay
1200,yes,yes,56,2,yes,stay
1201,no,yes,42,3,yes,unsubscribe
1202,no,yes,52,10,no,stay
1203,yes,yes,51,3,yes,stay
1204,yes,yes,45,4,yes,stay
1205,yes,no,46,0,yes,unsubscribe
1206,yes,yes,36,2,yes,stay
1207,no,yes,46,10,no,stay
1208,no,yes,39,0,yes,stay
1209,no,yes,39,0,yes,unsubscribe
1210,no,yes,45,5,yes,stay
1211,yes,yes,42,10,no,stay
1212,yes,yes,44,8,yes,stay
1213,no,no,30,0,yes,unsubscribe
1214,no,yes,44,2,yes,unsubscribe
1215,yes,yes,40,4,yes,stay
1216,yes,no,48,8,no,stay
1217,yes,yes,52,0,yes,stay
1218,yes,yes,51,7,yes,stay
1219,yes,yes,47,0,yes,unsubscribe
1220,yes,yes,38,0,yes,unsubscribe
1221,no,yes,40,0,yes,stay
1222,yes,yes,43,3,yes,stay
1223,yes,yes,35,10,no,unsubscribe
1224,no,no,40,0,yes,stay
1225,yes,no,53,0,yes,unsubscribe
1226,no,yes,49,0,yes,stay
1227,yes,yes,41,10,no,stay
1228,yes,yes,46,8,no,stay
1229,no,yes,40,9,no,stay
1230,no,no,53,7,no,stay
1231,no,no,53,0,yes,unsubscribe
1232,no,yes,37,3,yes,stay
1233,yes,yes,39,10,no,stay
1234,no,yes,56,7,yes,stay
1235,yes,yes,43,3,yes,stay
1236,no,yes,39,2,yes,stay
1237,no,yes,41,5,yes,stay
1238,yes,yes,45,4,yes,stay
1239,no,yes,51,0,yes,unsubscribe
1240,yes,no,43,3,yes,stay
1241,no,yes,41,4,yes,stay
1242,no,yes,42,9,no,stay
1243,yes,yes,38,8,no,stay
1244,no,yes,52,7,yes,unsubscribe
1245,yes,yes,50,9,no,stay
1246,yes,no,52,0,yes,stay
1247,no,yes,41,10,no,stay
1248,yes,yes,51,0,yes,stay
1249,yes,no,38,0,yes,unsubscribe
1250,yes,yes,54,5,yes,stay
1251,yes,yes,27,0,yes,unsubscribe
1252,yes,yes,48,10,no,stay
1253,no,yes,48,3,yes,stay
1254,yes,yes,46,0,yes,unsubscribe
1255,no,yes,36,7,yes,stay
1256,no,yes,46,3,yes,stay
1257,no,yes,45,4,yes,stay
1258,no,yes,44,0,yes,stay
1259,no,yes,38,8,no,stay
1260,yes,no,65,0,yes,stay
1261,no,yes,32,0,yes,unsubscribe
1262,yes,yes,44,8,yes,stay
1263,no,yes,57,10,no,stay
1264,yes,yes,51,9,no,stay
1265,yes,yes,61,0,yes,stay
1266,yes,yes,45,3,yes,stay
1267,no,yes,48,7,yes,unsubscribe
1268,yes,yes,51,5,yes,unsubscribe
1269,no,yes,43,5,yes,unsubscribe
1270,no,yes,46,5,yes,unsubscribe
1271,no,yes,41,10,no,stay
1272,no,yes,38,0,yes,stay
1273,yes,yes,51,7,yes,stay
1274,yes,yes,43,4,yes,stay
1275,no,yes,42,0,yes,unsubscribe
1276,no,yes,45,2,yes,stay
1277,no,yes,54,7,yes,stay
1278,yes,yes,53,5,yes,stay
1279,yes,yes,51,0,yes,stay
1280,yes,yes,50,9,no,stay
1281,yes,yes,47,5,yes,stay
1282,yes,yes,38,7,yes,stay
1283,yes,yes,52,9,no,stay
1284,yes,yes,36,4,yes,unsubscribe
1285,yes,yes,46,2,yes,unsubscribe
1286,no,yes,48,10,no,stay
1287,no,yes,32,9,no,stay
1288,no,no,50,3,yes,unsubscribe
1289,yes,yes,52,10,no,stay
1290,yes,yes,46,0,yes,unsubscribe
1291,no,yes,38,5,yes,stay
1292,no,yes,42,10,no,stay
1293,yes,yes,51,7,yes,unsubscribe
1294,no,yes,43,0,yes,unsubscribe
1295,no,yes,37,8,yes,stay
1296,yes,yes,57,5,yes,stay
1297,yes,yes,45,10,no,unsubscribe
1298,yes,yes,52,3,yes,unsubscribe
1299,yes,yes,39,7,yes,stay
1300,yes,no,47,0,yes,stay
1301,no,yes,36,10,no,stay
1302,no,yes,52,10,no,stay
1303,yes,yes,53,5,yes,stay
1304,no,yes,54,0,yes,unsubscribe
1305,yes,yes,45,5,yes,stay
1306,no,yes,36,10,no,stay
1307,yes,yes,42,10,no,unsubscribe
1308,no,yes,48,0,yes,stay
1309,yes,yes,47,10,no,stay
1310,yes,yes,51,0,yes,stay
1311,no,yes,64,0,yes,stay
1312,no,no,39,0,yes,stay
1313,no,yes,59,5,yes,stay
1314,yes,no,36,7,yes,unsubscribe
1315,no,no,41,8,no,stay
1316,yes,yes,38,0,yes,unsubscribe
1317,no,yes,48,0,yes,stay
1318,no,yes,43,5,yes,stay
1319,yes,yes,44,3,yes,unsubscribe
1320,no,no,29,0,yes,unsubscribe
1321,no,yes,42,4,yes,unsubscribe
1322,no,yes,54,9,no,stay
1323,yes,no,44,3,yes,stay
1324,yes,yes,42,4,yes,stay
1325,no,no,36,0,yes,stay
1326,no,yes,61,0,yes,stay
1327,no,yes,39,5,yes,stay
1328,yes,no,54,7,no,stay
1329,yes,yes,46,3,yes,stay
1330,yes,no,48,0,yes,stay
1331,yes,yes,51,5,yes,stay
1332,no,yes,46,5,yes,stay
1333,no,yes,58,0,yes,unsubscribe
1334,no,yes,41,0,yes,stay
1335,no,yes,45,10,no,stay
1336,no,yes,32,4,yes,unsubscribe
1337,no,yes,41,0,yes,stay
1338,yes,yes,48,3,yes,stay
1339,no,yes,48,8,yes,stay
1340,yes,yes,48,0,yes,stay
1341,yes,yes,48,8,yes,unsubscribe
1342,yes,no,45,0,yes,stay
1343,yes,yes,49,0,yes,stay
1344,no,yes,37,5,yes,stay
1345,no,yes,38,2,yes,stay
1346,yes,yes,55,10,no,unsubscribe
1347,yes,yes,44,10,no,unsubscribe
1348,no,yes,46,10,no,stay
1349,no,yes,39,3,yes,stay
1350,yes,yes,44,10,no,unsubscribe
1351,no,yes,47,8,yes,stay
1352,yes,yes,40,10,no,stay
1353,yes,yes,33,10,no,unsubscribe
1354,no,yes,47,8,no,stay
1355,no,yes,48,8,yes,unsubscribe
1356,no,yes,35,2,yes,stay
1357,no,yes,44,5,yes,stay
1358,yes,yes,45,5,yes,stay
1359,no,yes,40,5,yes,stay
1360,no,no,54,0,yes,stay
1361,no,yes,47,3,yes,unsubscribe
1362,no,yes,40,8,no,stay
1363,yes,no,44,0,yes,unsubscribe
1364,no,yes,54,0,yes,unsubscribe
1365,yes,yes,48,5,yes,unsubscribe
1366,no,yes,40,5,yes,stay
1367,no,yes,48,9,no,stay
1368,yes,yes,33,4,yes,unsubscribe
1369,yes,yes,45,7,yes,stay
1370,yes,yes,35,3,yes,stay
1371,yes,yes,56,7,yes,stay
1372,yes,yes,58,9,no,stay
1373,no,yes,40,0,yes,stay
1374,yes,yes,42,0,yes,unsubscribe
1375,yes,yes,56,10,no,stay
1376,no,yes,29,2,yes,stay
1377,no,yes,59,0,yes,stay
1378,no,yes,50,5,yes,unsubscribe
1379,yes,yes,29,8,yes,stay
1380,yes,yes,43,0,yes,stay
1381,no,yes,50,8,no,unsubscribe
1382,yes,no,44,0,yes,stay
1383,yes,yes,40,5,yes,stay
1384,yes,yes,34,10,no,stay
1385,yes,yes,46,5,yes,unsubscribe
1386,no,yes,58,0,yes,unsubscribe
1387,no,no,35,8,no,stay
1388,yes,no,57,2,yes,stay
1389,no,yes,44,7,yes,stay
1390,no,yes,42,0,yes,unsubscribe
1391,yes,yes,44,5,yes,unsubscribe
1392,no,yes,48,3,yes,stay
1393,no,yes,41,10,no,stay
1394,no,yes,59,7,yes,stay
1395,yes,yes,36,10,no,stay
1396,no,yes,54,0,yes,unsubscribe
1397,yes,yes,47,3,yes,stay
1398,yes,yes,38,10,no,stay
1399,no,yes,46,10,no,unsubscribe
1400,no,yes,46,7,yes,unsubscribe
1401,no,no,49,0,yes,unsubscribe
1402,yes,yes,53,10,no,stay
1403,no,yes,46,8,yes,stay
1404,no,yes,41,5,yes,stay
1405,no,yes,26,3,yes,unsubscribe
1406,no,yes,54,9,no,stay
1407,no,yes,52,8,yes,unsubscribe
1408,no,yes,60,0,yes,stay
1409,yes,yes,43,9,no,stay
1410,yes,yes,53,2,yes,stay
1411,no,yes,45,0,yes,stay
1412,no,yes,54,10,no,stay
1413,no,yes,47,5,yes,stay
1414,no,yes,50,3,yes,unsubscribe
1415,no,yes,53,7,yes,stay
1416,no,yes,47,7,yes,stay
1417,no,yes,50,3,yes,stay
1418,yes,yes,47,7,yes,stay
1419,yes,yes,51,5,yes,unsubscribe
1420,yes,yes,43,7,yes,stay
1421,no,yes,43,5,yes,stay
1422,no,yes,37,0,yes,stay
1423,yes,yes,40,8,yes,unsubscribe
1424,yes,yes,51,0,yes,unsubscribe
1425,no,yes,44,8,no,stay
1426,yes,yes,56,9,no,stay
1427,no,yes,50,3,yes,unsubscribe
1428,no,yes,44,0,yes,stay
1429,yes,yes,55,9,no,stay
1430,yes,yes,58,7,yes,unsubscribe
1431,no,yes,39,3,yes,stay
1432,no,yes,41,0,yes,unsubscribe
1433,no,yes,48,5,yes,unsubscribe
1434,yes,yes,50,10,no,unsubscribe
1435,no,no,44,0,yes,unsubscribe
1436,no,yes,50,5,yes,stay
1437,no,yes,39,5,yes,stay
1438,no,yes,38,5,yes,unsubscribe
1439,no,yes,38,8,no,stay
1440,no,yes,49,10,no,unsubscribe
1441,no,no,37,8,no,stay
1442,no,yes,49,3,yes,stay
1443,no,yes,49,5,yes,stay
1444,no,yes,51,10,no,stay
1445,yes,yes,40,0,yes,stay
1446,no,no,44,0,yes,stay
1447,no,yes,43,9,no,stay
1448,yes,yes,43,7,yes,unsubscribe
1449,no,yes,46,5,yes,stay
1450,no,yes,42,0,yes,stay
1451,no,yes,47,10,no,stay
1452,yes,yes,42,0,yes,stay
1453,yes,yes,42,0,yes,stay
1454,yes,yes,49,3,yes,stay
1455,yes,yes,49,7,yes,unsubscribe
1456,no,yes,38,3,yes,stay
1457,no,yes,48,3,yes,stay
1458,no,no,37,8,no,stay
1459,yes,yes,38,0,yes,stay
1460,yes,yes,45,0,yes,stay
1461,no,no,53,9,no,stay
1462,no,yes,34,10,no,stay
1463,no,yes,62,3,yes,stay
1464,yes,no,41,8,no,stay
1465,no,yes,46,2,yes,stay
1466,no,yes,49,4,yes,stay
1467,yes,no,51,8,no,stay
1468,yes,yes,50,5,yes,unsubscribe
1469,yes,yes,46,0,yes,unsubscribe
1470,no,no,49,9,no,stay
1471,no,no,36,8,no,stay
1472,no,yes,43,0,yes,stay
1473,yes,yes,47,9,no,stay
1474,no,yes,40,5,yes,stay
1475,yes,yes,47,5,yes,stay
1476,no,yes,50,9,no,unsubscribe
1477,yes,yes,51,5,yes,stay
1478,no,yes,48,7,yes,stay
1479,no,yes,45,0,yes,stay
1480,no,yes,39,5,yes,stay
1481,yes,yes,30,0,yes,stay
1482,no,yes,51,4,yes,unsubscribe
1483,yes,yes,37,10,no,stay
1484,yes,yes,40,5,yes,unsubscribe
1485,yes,no,56,7,no,stay
1486,yes,yes,50,10,no,stay
1487,no,no,46,0,yes,stay
1488,no,yes,42,5,yes,stay
1489,yes,yes,52,7,yes,stay
1490,no,yes,34,10,no,stay
1491,no,yes,43,10,no,stay
1492,no,yes,33,5,yes,stay
1493,yes,no,42,10,no,stay
1494,no,no,50,0,yes,stay
1495,yes,yes,46,3,yes,stay
1496,no,yes,44,3,yes,stay
1497,yes,no,44,0,yes,unsubscribe
1498,no,yes,50,3,yes,stay
1499,yes,yes,47,2,yes,stay
1500,yes,yes,51,0,yes,unsubscribe
1501,yes,no,44,0,yes,stay
1502,yes,yes,31,0,yes,stay
1503,yes,yes,51,0,yes,stay
1504,yes,yes,52,10,no,stay
1505,no,yes,43,4,yes,unsubscribe
1506,yes,yes,52,10,no,unsubscribe
1507,yes,no,39,0,yes,unsubscribe
1508,yes,yes,37,7,yes,stay
1509,yes,yes,34,5,yes,unsubscribe
1510,yes,no,40,0,yes,stay
